signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-2,Case-2TRD_1-4,Case-2TRD_12-2,双因素,,,,,,final_comm,Case-2TRD_1-4,A,400,9.75289,0.05787,9.753061,0.003349,0.206189,0.196161,9.55347,9.905534,0.352064,9.68511,9.716363,9.743829,9.789952,9.827742,0.073589,0.005934,1.015633,1.000018,1.015651,0.92211,0.330993,0.000428,0.012803,0.127797,0.080201,0.080201,0.0325,0.090048,0.044286,0.002926,5.305221,34.400041,4.749059,0.0675,95.987627,2.419575,1.592798,0.999982,0.599035
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-2,Case-2TRD_1-4,Case-2TRD_12-2,双因素,,,,,,final_comm,Case-2TRD_12-2,B,400,9.38802,0.04871,9.388146,0.002373,0.158745,0.323544,9.241032,9.571618,0.330586,9.330798,9.352608,9.386572,9.423567,9.446812,0.070959,0.005189,1.019543,1.000013,1.019557,0.761389,0.18164,0.001065,0.023059,0.449009,0.213033,0.213033,0.0575,0.138786,0.090176,0.01264,2.302355,4.219267,5.425084,0.15,81.342453,8.148147,10.5094,0.999987,1.435891
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-3,Case-2TRD_1-4,Case-2TRD_12-3,双因素,,,,,,original,Case-2TRD_1-4,A,400,14.282121,0.210692,14.283671,0.044391,0.235375,-0.966468,13.913478,14.760993,0.847515,14.031139,14.093334,14.263347,14.444228,14.538341,0.350893,0.014752,1.033417,1.000109,1.033529,0.969641,0.802676,0.002526,0.024564,0.056909,0.0401,0.0401,0.0025,0.689762,0.016884,0.00161,5.724453,44.808242,2.476644,0.0325,96.581414,2.780366,0.638221,0.999891,0.341862
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-3,Case-2TRD_1-4,Case-2TRD_12-3,双因素,,,,,,original,Case-2TRD_12-3,B,400,10.484197,0.130415,10.485006,0.017008,0.129639,-0.425724,10.220605,10.84091,0.620306,10.29567,10.390204,10.485738,10.57117,10.646109,0.180966,0.012439,1.033944,1.000077,1.034024,0.710548,0.51117,0.009884,0.070805,0.581146,0.235589,0.235589,0.0025,0.263915,0.086468,0.013562,1.538917,1.667767,5.171147,0.21,67.632221,22.000393,10.367386,0.999923,1.523168
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-3,Case-2TRD_1-4,Case-2TRD_12-3,双因素,,,,,,final_comm,Case-2TRD_1-4,A,400,9.741143,0.059579,9.741325,0.00355,0.172593,0.095305,9.53429,9.894319,0.360029,9.673312,9.702361,9.729396,9.781201,9.820515,0.07884,0.006116,1.015706,1.000019,1.015725,0.918679,0.255875,0.000476,0.013459,0.134122,0.085213,0.085213,0.0325,0.085253,0.046604,0.002663,4.967157,32.619367,4.864786,0.0725,94.57251,3.911836,1.515654,0.999981,0.610578
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-3,Case-2TRD_1-4,Case-2TRD_12-3,双因素,,,,,,final_comm,Case-2TRD_12-3,B,400,9.407472,0.041054,9.407562,0.001685,0.34804,0.038493,9.302525,9.541621,0.239096,9.355224,9.381665,9.40472,9.433191,9.463706,0.051526,0.004364,1.01425,1.000009,1.01426,0.620925,-0.02008,0.001286,0.026381,0.762917,0.278195,0.278195,0.055,0.081732,0.117307,0.018072,1.588327,1.080816,6.031183,0.32,72.158381,9.748655,18.092964,0.999991,1.50734
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-4,Case-2TRD_1-4,Case-2TRD_12-4,双因素,,,,,,original,Case-2TRD_1-4,A,400,14.282121,0.210692,14.283671,0.044391,0.235375,-0.966468,13.913478,14.760993,0.847515,14.031139,14.093334,14.263347,14.444228,14.538341,0.350893,0.014752,1.033417,1.000109,1.033529,0.969641,0.802676,0.002526,0.024564,0.056909,0.0401,0.0401,0.0025,0.689762,0.016884,0.00161,5.724453,44.808242,2.476644,0.0325,96.581414,2.780366,0.638221,0.999891,0.341862
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-4,Case-2TRD_1-4,Case-2TRD_12-4,双因素,,,,,,original,Case-2TRD_12-4,B,400,10.653664,0.098047,10.654114,0.009613,-0.026212,-0.606138,10.43834,10.868773,0.430433,10.52237,10.581884,10.658909,10.723465,10.790066,0.141581,0.009203,1.020148,1.000042,1.020191,0.548102,0.116318,0.008701,0.065177,0.905124,0.280702,0.280702,0.0175,0.058368,0.137913,0.012346,1.022729,0.597457,6.366891,0.245,43.907064,41.17142,14.921516,0.999958,1.569058
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-4,Case-2TRD_1-4,Case-2TRD_12-4,双因素,,,,,,final_comm,Case-2TRD_1-4,A,400,9.781575,0.059761,9.781757,0.003571,0.176209,0.048072,9.579343,9.929617,0.350274,9.712703,9.742207,9.771682,9.823289,9.85904,0.081082,0.00611,1.015116,1.000019,1.015135,0.917401,0.281061,0.000495,0.01347,0.138573,0.090226,0.090226,0.0325,0.08408,0.046434,0.002915,4.863823,30.654391,4.877097,0.07,93.478401,4.902694,1.618904,0.999981,0.614065
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-4,Case-2TRD_1-4,Case-2TRD_12-4,双因素,,,,,,final_comm,Case-2TRD_12-4,B,400,9.43315,0.041871,9.433242,0.001753,-0.106603,-0.182503,9.308166,9.563593,0.255427,9.377911,9.403413,9.435962,9.46136,9.484756,0.057947,0.004439,1.013818,1.00001,1.013828,0.685851,-0.09357,0.001104,0.024646,0.629725,0.218045,0.218045,0.06,0.104532,0.106599,0.014238,1.965761,2.626118,5.640758,0.195,72.012662,13.883894,14.103444,0.99999,1.641776
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-5,Case-2TRD_1-4,Case-2TRD_12-5,双因素,,,,,,original,Case-2TRD_1-4,A,400,14.282121,0.210692,14.283671,0.044391,0.235375,-0.966468,13.913478,14.760993,0.847515,14.031139,14.093334,14.263347,14.444228,14.538341,0.350893,0.014752,1.033417,1.000109,1.033529,0.969641,0.802676,0.002526,0.024564,0.056909,0.0401,0.0401,0.0025,0.689762,0.016884,0.00161,5.724453,44.808242,2.476644,0.0325,96.581414,2.780366,0.638221,0.999891,0.341862
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-5,Case-2TRD_1-4,Case-2TRD_12-5,双因素,,,,,,original,Case-2TRD_12-5,B,400,10.686513,0.099817,10.686978,0.009964,-0.063214,-0.4865,10.435174,10.935017,0.499843,10.556672,10.62097,10.687574,10.761858,10.816674,0.140888,0.009341,1.02321,1.000044,1.023254,0.558815,0.226785,0.008825,0.065778,0.885741,0.285714,0.285714,0.0075,0.096598,0.131957,0.013538,0.945945,0.41335,6.127695,0.2425,45.673217,39.776921,14.549862,0.999956,1.5172
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-5,Case-2TRD_1-4,Case-2TRD_12-5,双因素,,,,,,final_comm,Case-2TRD_1-4,A,400,9.762124,0.059247,9.762304,0.00351,0.187234,0.022017,9.56415,9.908633,0.344482,9.694089,9.723337,9.750265,9.802892,9.84168,0.079555,0.006069,1.014989,1.000018,1.015008,0.915564,0.263884,0.000503,0.013639,0.143216,0.090226,0.090226,0.0325,0.08557,0.047323,0.003026,4.838776,29.956512,4.893403,0.0725,93.31532,4.98013,1.70455,0.999982,0.642182
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-5,Case-2TRD_1-4,Case-2TRD_12-5,双因素,,,,,,final_comm,Case-2TRD_12-5,B,400,9.43098,0.038429,9.431058,0.001477,0.044324,-0.385724,9.337496,9.541096,0.2036,9.385726,9.402805,9.429236,9.459901,9.48151,0.057097,0.004075,1.011668,1.000008,1.011676,0.619711,-0.148332,0.00112,0.024223,0.758505,0.263158,0.263158,0.0525,0.177252,0.122737,0.017125,1.652278,1.336396,5.575562,0.305,66.371519,15.888571,17.73991,0.999992,1.710838
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-6,Case-2TRD_1-4,Case-2TRD_12-6,双因素,,,,,,original,Case-2TRD_1-4,A,222,14.164275,0.161301,14.165189,0.026018,0.908944,-0.176619,13.913478,14.570597,0.65712,14.006286,14.044583,14.12634,14.24558,14.435955,0.200997,0.011388,1.02862,1.000065,1.028686,0.960388,0.688502,0.001681,0.020979,0.064625,0.040724,0.040724,0.004505,0.448326,0.026828,0.002365,4.620778,29.361705,3.121113,0.054054,94.224596,4.768496,1.006908,0.999935,0.273736
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-6,Case-2TRD_1-4,Case-2TRD_12-6,双因素,,,,,,original,Case-2TRD_12-6,B,222,10.674218,0.083276,10.674541,0.006935,0.145765,-0.104648,10.459233,10.912283,0.453049,10.569401,10.620752,10.671453,10.731866,10.777908,0.111115,0.007802,1.022272,1.00003,1.022303,0.583371,0.212122,0.005787,0.047833,0.834461,0.226244,0.226244,0.013514,0.136097,0.125912,0.013645,1.093759,0.659526,5.401114,0.247748,48.521008,37.365856,14.113136,0.99997,1.030559
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-6,Case-2TRD_1-4,Case-2TRD_12-6,双因素,,,,,,final_comm,Case-2TRD_1-4,A,222,9.906455,0.052537,9.906593,0.00276,0.488877,0.413521,9.766496,10.051341,0.284845,9.853387,9.874063,9.897174,9.93007,9.993003,0.056007,0.005303,1.014611,1.000014,1.014625,0.892765,0.03439,0.000438,0.012801,0.158829,0.095023,0.095023,0.063063,0.105277,0.07032,0.004411,3.286507,14.52658,4.784891,0.103604,81.633305,15.419814,2.946881,0.999986,0.505921
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-6,Case-2TRD_1-4,Case-2TRD_12-6,双因素,,,,,,final_comm,Case-2TRD_12-6,B,222,9.473481,0.032985,9.473539,0.001088,0.230455,0.395806,9.381332,9.581248,0.199916,9.433964,9.452902,9.471002,9.493642,9.518618,0.04074,0.003482,1.01137,1.000006,1.011376,0.631532,-0.325215,0.00081,0.020305,0.744154,0.253394,0.253394,0.054054,0.103776,0.12568,0.012751,1.87441,2.627471,5.275447,0.193694,51.579844,35.345626,13.074531,0.999994,1.436255
pressure,MPa,Case-2TRD_1-5 vs Case-2TRD_12-1,Case-2TRD_1-5,Case-2TRD_12-1,双因素,,,,,,original,Case-2TRD_1-5,A,50,14.076037,0.116706,14.076511,0.01362,-0.158714,-1.212912,13.904208,14.253147,0.348939,13.908207,13.968418,14.080905,14.178317,14.226761,0.209899,0.008291,1.012548,1.000034,1.012582,0.989803,0.738942,0.000322,0.013296,0.023674,0.061224,0.061224,0.02,0.851728,0.029556,0.001352,7.263189,66.454818,0.988144,0.02,96.80361,2.455788,0.740602,0.999966,0.227578
pressure,MPa,Case-2TRD_1-5 vs Case-2TRD_12-1,Case-2TRD_1-5,Case-2TRD_12-1,双因素,,,,,,original,Case-2TRD_12-1,B,50,9.470074,0.060007,9.470261,0.003601,-0.08007,0.484548,9.306103,9.61603,0.309927,9.41809,9.42972,9.465019,9.512151,9.543045,0.082431,0.006336,1.015392,1.00002,1.015412,0.823958,0.407309,0.000806,0.017973,0.223928,0.122449,0.122449,0.02,0.388653,0.070932,0.003941,2.157998,8.497682,2.749202,0.12,66.167893,32.588326,1.243781,0.99998,0.381368
pressure,MPa,Case-2TRD_1-5 vs Case-2TRD_12-1,Case-2TRD_1-5,Case-2TRD_12-1,双因素,,,,,,final_comm,Case-2TRD_1-5,A,50,10.147984,0.024809,10.148014,0.000615,-0.435959,-0.608807,10.084729,10.188967,0.104238,10.115164,10.126398,10.153164,10.168541,10.177358,0.042143,0.002445,1.004036,1.000003,1.004039,0.886096,0.491692,4.2e-05,0.004816,0.068946,0.061224,0.061224,0.02,0.587889,0.077437,0.010559,2.240704,4.605883,2.600402,0.16,73.941296,17.557408,8.501296,0.999997,0.339507
pressure,MPa,Case-2TRD_1-5 vs Case-2TRD_12-1,Case-2TRD_1-5,Case-2TRD_12-1,双因素,,,,,,final_comm,Case-2TRD_12-1,B,50,9.332653,0.022325,9.33268,0.000498,-0.817255,4.349089,9.245768,9.393334,0.147566,9.313316,9.323933,9.330656,9.343193,9.359456,0.01926,0.002392,1.006499,1.000003,1.006502,0.63274,-0.045502,0.000225,0.009552,0.451011,0.204082,0.204082,0.12,0.290788,0.12767,0.005691,2.067318,7.27127,3.23187,0.16,20.920964,73.492897,5.58614,0.999997,0.490206
pressure,MPa,Case-2TRD_1-5 vs Case-2TRD_12-2,Case-2TRD_1-5,Case-2TRD_12-2,双因素,,,,,,original,Case-2TRD_1-5,A,50,14.076037,0.116706,14.076511,0.01362,-0.158714,-1.212912,13.904208,14.253147,0.348939,13.908207,13.968418,14.080905,14.178317,14.226761,0.209899,0.008291,1.012548,1.000034,1.012582,0.989803,0.738942,0.000322,0.013296,0.023674,0.061224,0.061224,0.02,0.851728,0.029556,0.001352,7.263189,66.454818,0.988144,0.02,96.80361,2.455788,0.740602,0.999966,0.227578
