signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-3,Case-2RCT_5-1,Case-2RCT_7-3,双因素,,,,,,original,Case-2RCT_7-3,B,65,2.66013,0.06746,2.660972,0.004551,0.165889,0.062676,2.503014,2.839114,0.336099,2.582211,2.609288,2.658422,2.706159,2.741611,0.096871,0.02536,1.066946,1.000317,1.067284,0.818014,0.206939,0.001715,0.024086,0.376942,0.125,0.125,0.030769,0.315808,0.076052,0.006357,2.132137,4.933905,3.41537,0.153846,77.111158,18.010875,4.877967,0.999683,0.724896
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-3,Case-2RCT_5-1,Case-2RCT_7-3,双因素,,,,,,final_comm,Case-2RCT_5-1,A,65,2.363406,0.015956,2.363459,0.000255,0.867733,2.283089,2.323455,2.425134,0.101679,2.346922,2.353761,2.360584,2.375349,2.381037,0.021587,0.006751,1.026095,1.000022,1.026118,0.667608,-0.271694,0.000177,0.008203,0.694368,0.171875,0.171875,0.061538,0.148032,0.123141,0.006029,1.529943,3.270969,3.875699,0.184615,46.642413,45.462206,7.895382,0.999978,1.014731
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-3,Case-2RCT_5-1,Case-2RCT_7-3,双因素,,,,,,final_comm,Case-2RCT_7-3,B,65,2.072812,0.025791,2.07297,0.000665,-0.361824,0.881808,2.007917,2.140773,0.132856,2.036545,2.061305,2.072587,2.089998,2.094883,0.028692,0.012442,1.032708,1.000076,1.032787,0.582421,-0.191169,0.000561,0.013335,0.843294,0.203125,0.203125,0.076923,0.12535,0.14131,0.007025,1.046786,1.453414,4.194027,0.230769,39.141194,50.952633,9.906173,0.999924,0.937125
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-1,Case-2RCT_5-2,Case-2RCT_7-1,双因素,,,,,,original,Case-2RCT_5-2,A,150,4.349336,0.081571,4.350096,0.006654,0.013118,-0.320628,4.160226,4.555029,0.394803,4.238742,4.291445,4.353127,4.405456,4.44452,0.114011,0.018755,1.04711,1.000175,1.047293,0.566958,0.081979,0.005694,0.051251,0.855747,0.275168,0.275168,0.006667,0.128502,0.132466,0.01363,1.099807,0.588779,5.016194,0.266667,47.169599,36.765979,16.064422,0.999825,1.235669
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-1,Case-2RCT_5-2,Case-2RCT_7-1,双因素,,,,,,original,Case-2RCT_7-1,B,150,2.283475,0.072771,2.284627,0.005296,-0.069352,-0.366971,2.107322,2.43917,0.331848,2.183307,2.240247,2.28799,2.327934,2.38764,0.087687,0.031868,1.067645,1.000504,1.068183,0.932538,0.581754,0.000773,0.014811,0.145878,0.073826,0.073826,0.006667,0.435835,0.036553,0.003519,3.636627,17.173153,3.096534,0.08,91.003534,7.18293,1.813536,0.999496,0.521963
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-1,Case-2RCT_5-2,Case-2RCT_7-1,双因素,,,,,,final_comm,Case-2RCT_5-2,A,150,2.284173,0.033591,2.284419,0.001128,-0.036691,-0.570374,2.206072,2.371312,0.16524,2.242367,2.256979,2.285393,2.308745,2.327002,0.051766,0.014706,1.038037,1.000107,1.038149,0.595536,-0.431312,0.000872,0.022052,0.772656,0.288591,0.288591,0.086667,0.201003,0.140542,0.013351,1.706632,1.772686,4.672731,0.28,47.680937,35.784892,16.534172,0.999893,1.634131
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-1,Case-2RCT_5-2,Case-2RCT_7-1,双因素,,,,,,final_comm,Case-2RCT_7-1,B,150,2.005893,0.022109,2.006014,0.000489,0.148972,-0.447092,1.958047,2.062265,0.104218,1.97381,1.991934,2.004693,2.020515,2.036491,0.02858,0.011022,1.028041,1.00006,1.028103,0.858617,-0.184836,0.000144,0.007079,0.295213,0.14094,0.14094,0.08,0.186054,0.073436,0.004457,3.615783,16.933373,4.054948,0.1,84.813938,12.186367,2.999695,0.99994,0.671071
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-2,Case-2RCT_5-2,Case-2RCT_7-2,双因素,,,,,,original,Case-2RCT_5-2,A,351,4.31901,0.078474,4.319721,0.006158,0.135969,-0.279874,4.137293,4.555029,0.417737,4.215391,4.261899,4.317029,4.37512,4.415681,0.113221,0.01817,1.054473,1.000165,1.054647,0.695077,0.222834,0.003763,0.038562,0.611029,0.191429,0.191429,0.002849,0.09432,0.098938,0.011888,1.501726,1.786253,5.870784,0.196581,66.632103,21.94105,11.426847,0.999835,1.050471
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-2,Case-2RCT_5-2,Case-2RCT_7-2,双因素,,,,,,original,Case-2RCT_7-2,B,351,2.588781,0.073169,2.589812,0.005354,-0.051449,-0.093756,2.385101,2.811019,0.425918,2.494554,2.534962,2.594727,2.638266,2.674811,0.103305,0.028264,1.085414,1.000398,1.085847,0.905245,0.400804,0.001014,0.018096,0.189477,0.091429,0.091429,0.005698,0.138775,0.047707,0.003552,3.055136,12.575396,4.894794,0.071225,88.096166,10.111873,1.791961,0.999602,0.565275
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-2,Case-2RCT_5-2,Case-2RCT_7-2,双因素,,,,,,final_comm,Case-2RCT_5-2,A,351,2.112014,0.029032,2.112213,0.000843,-0.015095,-0.439093,2.02898,2.199165,0.170186,2.073836,2.089856,2.114348,2.13385,2.147853,0.043995,0.013746,1.041166,1.000094,1.041264,0.568106,0.253679,0.000719,0.016133,0.85301,0.202857,0.202857,0.037037,0.096037,0.127684,0.019072,1.24906,0.239296,5.983637,0.319088,64.065887,15.676959,20.257154,0.999906,1.104072
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-2,Case-2RCT_5-2,Case-2RCT_7-2,双因素,,,,,,final_comm,Case-2RCT_7-2,B,351,2.002144,0.033545,2.002424,0.001125,-0.301108,0.180698,1.89686,2.099293,0.202433,1.95696,1.98012,2.005363,2.025203,2.040365,0.045083,0.016754,1.048376,1.00014,1.048522,0.903597,0.132992,0.000217,0.009367,0.192969,0.102857,0.102857,0.045584,0.18882,0.057044,0.002948,4.618195,25.622608,4.585949,0.068376,93.0828,4.966926,1.950274,0.99986,0.705132
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-3,Case-2RCT_5-2,Case-2RCT_7-3,双因素,,,,,,original,Case-2RCT_5-2,A,65,4.370218,0.078272,4.370908,0.006126,0.285818,-0.477526,4.213133,4.555029,0.341897,4.27237,4.30303,4.37596,4.421584,4.47332,0.118554,0.01791,1.042124,1.000158,1.042289,0.414287,-0.124823,0.007348,0.058736,1.199446,0.3125,0.3125,0.107692,0.181139,0.174536,0.010373,1.063839,0.748748,4.229502,0.276923,20.018156,61.486676,18.495167,0.999842,0.980829
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-3,Case-2RCT_5-2,Case-2RCT_7-3,双因素,,,,,,original,Case-2RCT_7-3,B,65,2.66013,0.06746,2.660972,0.004551,0.165889,0.062676,2.503014,2.839114,0.336099,2.582211,2.609288,2.658422,2.706159,2.741611,0.096871,0.02536,1.066946,1.000317,1.067284,0.818014,0.206939,0.001715,0.024086,0.376942,0.125,0.125,0.030769,0.315808,0.076052,0.006357,2.132137,4.933905,3.41537,0.153846,77.111158,18.010875,4.877967,0.999683,0.724896
pressure,MPa,Case-2RCT_5-2 vs Case-2RCT_7-3,Case-2RCT_5-2,Case-2RCT_7-3,双因素,,,,,,final_comm,Case-2RCT_5-2,A,65,2.335414,0.04138,2.335775,0.001712,0.473757,0.254505,2.244242,2.443033,0.198791,2.288032,2.312355,2.328187,2.355212,2.390896,0.042856,0.017718,1.04592,1.000155,1.046082,0.456034,-0.083382,0.001901,0.02933,1.110372,0.25,0.25,0.107692,0.206696,0.169914,0.005752,1.48797,3.294963,3.737798,0.246154,10.307339,79.301939,10.390722,0.999845,2.159484
