signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-4,Case-2TRD_11-3,Case-2TRD_11-4,双因素,,,,,,original,Case-2TRD_11-3,A,400,81.832967,0.924426,81.838175,0.854563,-0.255698,0.226531,79.208641,84.281263,5.072622,80.639582,81.29247,81.822619,82.422231,83.106923,1.129761,0.011296,1.029853,1.000064,1.029918,0.774912,0.205333,0.387268,0.373249,0.453177,0.162907,0.162907,0.0025,0.094784,0.082577,0.008479,1.848903,3.917339,5.775028,0.16,67.951689,25.87161,6.176702,0.999936,0.803253
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-4,Case-2TRD_11-3,Case-2TRD_11-4,双因素,,,,,,original,Case-2TRD_11-4,B,400,82.250213,1.143063,82.258136,1.306593,-0.071519,-0.164671,79.078391,85.091959,6.013568,80.869848,81.471291,82.211184,83.012956,83.77312,1.541665,0.013897,1.03445,1.000096,1.03455,0.799682,0.543719,0.525804,0.479013,0.402423,0.162907,0.162907,0.005,0.241854,0.066762,0.009914,2.02977,3.884863,5.034941,0.16,76.340083,16.452613,7.207304,0.999904,1.044251
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-4,Case-2TRD_11-3,Case-2TRD_11-4,双因素,,,,,,final_comm,Case-2TRD_11-3,A,400,69.070351,0.36695,69.071323,0.134652,-0.296111,0.589109,67.880441,70.103341,2.2229,68.640501,68.844113,69.088828,69.274426,69.522135,0.430313,0.005313,1.014941,1.000014,1.014956,0.711846,0.186647,0.077173,0.166821,0.573126,0.177945,0.177945,0.0525,0.081638,0.095929,0.013126,1.83863,2.646226,5.778727,0.2175,73.204806,14.934327,11.860867,0.999986,0.971536
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-4,Case-2TRD_11-3,Case-2TRD_11-4,双因素,,,,,,final_comm,Case-2TRD_11-4,B,400,69.141512,0.439863,69.142907,0.19348,-0.033664,0.251834,67.645297,70.359923,2.714626,68.625848,68.873837,69.119479,69.403759,69.721721,0.529922,0.006362,1.017601,1.00002,1.017622,0.696194,0.369059,0.117276,0.222321,0.60614,0.20802,0.20802,0.015,0.156477,0.093654,0.015624,1.71045,1.855589,5.589082,0.245,74.810256,10.656494,14.53325,0.99998,1.178309
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-5,Case-2TRD_11-3,Case-2TRD_11-5,双因素,,,,,,original,Case-2TRD_11-3,A,120,81.611151,0.759824,81.614658,0.577333,0.792773,0.319013,80.515936,83.523053,3.007118,80.619034,81.079156,81.522044,82.004617,82.620404,0.925461,0.00931,1.023383,1.000043,1.023427,0.830545,0.094068,0.19601,0.212272,0.339509,0.142857,0.142857,0.058333,0.280139,0.075672,0.006509,2.649602,7.977227,3.859687,0.116667,78.95939,16.550878,4.489733,0.999957,0.53111
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-5,Case-2TRD_11-3,Case-2TRD_11-5,双因素,,,,,,original,Case-2TRD_11-5,B,120,83.84125,1.03846,83.847627,1.0784,0.047337,-0.359313,81.354801,86.007341,4.65254,82.500484,83.26167,83.807032,84.486132,85.363189,1.224462,0.012386,1.025758,1.000076,1.025836,0.572711,-0.062563,0.932173,0.629907,0.864403,0.252101,0.252101,0.008333,0.164604,0.131533,0.015337,1.301596,0.826381,4.698916,0.283333,55.789358,26.503706,17.706936,0.999924,0.926
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-5,Case-2TRD_11-3,Case-2TRD_11-5,双因素,,,,,,final_comm,Case-2TRD_11-3,A,120,72.721543,0.358554,72.72242,0.128561,0.69055,0.260908,72.040124,73.72518,1.685056,72.302106,72.514332,72.655424,72.896431,73.269833,0.382098,0.004931,1.013789,1.000012,1.013801,0.7968,0.178164,0.049856,0.125807,0.387802,0.159664,0.159664,0.041667,0.284758,0.086123,0.00661,1.888549,4.249293,3.957923,0.166667,67.579744,28.038175,4.382081,0.999988,0.786303
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-5,Case-2TRD_11-3,Case-2TRD_11-5,双因素,,,,,,final_comm,Case-2TRD_11-5,B,120,73.644379,0.451606,73.645753,0.203948,0.110002,0.018069,72.581212,74.841422,2.26021,73.02787,73.335862,73.635786,73.931981,74.167297,0.596119,0.006132,1.016235,1.000019,1.016254,0.640084,-0.001248,0.14717,0.26609,0.721603,0.235294,0.235294,0.008333,0.149574,0.12212,0.009733,1.555798,3.266947,4.508013,0.2,42.670645,49.324548,8.004807,0.999981,1.273706
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-6,Case-2TRD_11-3,Case-2TRD_11-6,双因素,,,,,,original,Case-2TRD_11-3,A,400,81.832967,0.924426,81.838175,0.854563,-0.255698,0.226531,79.208641,84.281263,5.072622,80.639582,81.29247,81.822619,82.422231,83.106923,1.129761,0.011296,1.029853,1.000064,1.029918,0.774912,0.205333,0.387268,0.373249,0.453177,0.162907,0.162907,0.0025,0.094784,0.082577,0.008479,1.848903,3.917339,5.775028,0.16,67.951689,25.87161,6.176702,0.999936,0.803253
torque,N·m,Case-2TRD_11-3 vs Case-2TRD_11-6,Case-2TRD_11-3,Case-2TRD_11-6,双因素,,,,,,original,Case-2TRD_11-6,B,400,83.963833,0.906245,83.968711,0.821281,-0.735949,1.161386,80.530254,86.268868,5.738614,82.714271,83.571596,84.042313,84.493178,84.961191,0.921582,0.010793,1.027393,1.000058,1.027453,0.709907,0.302211,0.476367,0.450975,0.580029,0.218045,0.218045,0.0025,0.12249,0.092571,0.012044,1.531643,1.82215,5.70276,0.205,66.048541,23.982739,9.96872,0.999942,0.87738
